Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.21161,-0.00027468,0.14869,0,0,0,62.105,0,0,0,0,0,0,0,0,0,0,0,0,package://mpx2600_urdf/meshes/base.STL,1,1,1,1,0,0,0,0,0,0,package://mpx2600_urdf/meshes/base.STL,,BASE_AXIS_1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.100550518197811,0.11278029328022,0.692884292535611,0,0,0,197.801159157614,85.9358215804806,2.66965069038124,-17.5631283460795,97.7811466002533,-1.76118864808995,25.0239199642271,0,0,0,0,0,0,package://mpx2600_urdf/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://mpx2600_urdf/meshes/link1.STL,,S_AXIS_1-1,Origin_joint1,Axis_joint1,joint1,revolute,-0.15844,0,0.2515,0,0,0,base,0,0,1,0,0,0,0,,,,,,,,
link2,-0.018821581796957,0.214982233598283,0.373624107586771,0,0,0,60.9385112970589,8.99174916146676,0.0295096353897653,0.22578670873624,9.19753922732271,-0.0126905130930041,0.640222144552644,0,0,0,0,0,0,package://mpx2600_urdf/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://mpx2600_urdf/meshes/link2.STL,,L_AXIS-1,Origin_joint2,Axis_joint2,joint2,revolute,0,0.1237,0.3485,0,0,0,link1,0,1,0,0,0,0,0,,,,,,,,
link3,0.221992139930053,-0.097587400326997,-0.0163315224933083,0,0,0,64.5889433070104,0.96238430150691,0.38674341302379,0.306488094070346,6.03399258317655,-0.0539659562610906,6.28041916351432,0,0,0,0,0,0,package://mpx2600_urdf/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://mpx2600_urdf/meshes/link3.STL,,U_AXIS-1,Origin_joint3,Axis_joint3,joint3,revolute,0,0,1,0,0,0,link2,0,1,0,0,0,0,0,,,,,,,,
link4,0.180056949062147,2.66408457513358E-07,-0.00716798581734612,0,0,0,6.99309200755702,0.0290038583588204,-8.05668401239725E-08,0.0036508439282193,0.0555239614100292,-4.64344659972015E-07,0.0565313534301717,0,0,0,0,0,0,package://mpx2600_urdf/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://mpx2600_urdf/meshes/link4.STL,,R_AXIS-1,Origin_joint4,Axis_joint4,joint4,revolute,0.7645,-0.1237,0,0,0,0,link3,1,0,0,0,0,0,0,,,,,,,,
link5,0.00234270241431556,-4.51152484748326E-06,-0.0122899714939753,0,0,0,2.22595712958037,0.00668008429804144,-7.29711911571044E-07,-9.5133896031486E-05,0.00455551022613854,-3.13626298438085E-07,0.00507498522747563,0,0,0,0,0,0,package://mpx2600_urdf/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://mpx2600_urdf/meshes/link5.STL,,B_AXIS-1,Origin_joint5,Axis_joint5,joint5,revolute,0.27492,0,-0.06828,0,0,0,link4,0.5,0,-0.86603,0,0,0,0,,,,,,,,
link6,0.0483438109187909,-1.46523687388685E-09,1.04890239531752E-05,0,0,0,0.949931809539064,0.00181650889140842,-7.82778163203027E-12,-1.90214713797836E-07,0.00154750944017363,-1.97672404178808E-09,0.0015493048988787,0,0,0,0,0,0,package://mpx2600_urdf/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://mpx2600_urdf/meshes/link6.STL,,T_AXIS-1,Origin_joint6,Axis_joint6,joint6,revolute,0.044584,0,-0.030447,0,0,0,link5,1,0,0,0,0,0,0,,,,,,,,
